ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,หมวด GL,งบ,หมวด GL รอง,งบรอง,ใช้จริง,เวลา,สถานที่,ผู้เข้าร่วม,เตรียมล่วงหน้า(วัน),สิ่งที่ต้องเตรียม,ป้ายกำกับ,สี,ผู้เข้าอบรม,ชั่วโมง,วิทยากร/สถาบัน,กรมพัฒฯ,การเกิดซ้ำ,รายละเอียด
S Group Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-02-21,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 21/02/2025)
สวัสดิการน้ำฤดูร้อน,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS,,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม -)
Meeting HR & บริหารโรงงานการผลิต,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-01-09,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 09/01/2025)
ตรวจโปรแกรมไขมัน (ครั้งที่ 2),งานประจำเดือน,เอกสารราชการ,รอดำเนินการ,HRMS,2026-02-20,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 20/02/2025)
Meeting HR SBP & LSC,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-03-27,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 27/03/2025)
LeKise Health Care Club (คลินิกเบาหวาน / ความดัน),งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS - HROD - HRBP,2026-02-21,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 21/02/2025)
อบรมการปฐมพยาบาลเบื้องต้น (First Aid),อบรมภายใน,อบรม,รอดำเนินการ,HROD,2026-03-24,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 24/03/2025)
งานบวงสรวงศาลพระพรหม,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRBP,2026-02-25,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 25/02/2025)
Meeting HR & บริหารโรงงานการผลิต,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-03-06,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 06/03/2025)
งานทำบุญบริษัทฯ ประจำปี,กิจกรรมประจำปี,กิจกรรม,รอดำเนินการ,HRBP,2026-02-26,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 26/02/2025)
นำส่งข้อมูล ภ.ง.ด. 1ก. และ กท.20,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS,2026-02-28,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 28/02/2025)
"รายงานคนพิการ (ม.33 , ม.35)",งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS,2026-02-28,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 28/02/2025)
เอกสารต่ออายุพนักงาน เมียนม่า,งานประจำเดือน,อื่นๆ,รอดำเนินการ,,,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-04-10,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 10/04/2025)
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-05-15,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 15/05/2025)
